カットNo.	時間(秒)	画面（ビジュアル）	内容・動き	セリフ	SE/BGM	撮影内容	挿入素材
1	2	女性が親しげにカメラに向かって話しかけている。部屋の中。バストアップ。	笑顔で、視聴者に秘密を打ち明けるように少し身を乗り出す。	ねぇ、ちょっと聞いて！	軽快なBGMスタート	自然光の入る明るい部屋で、親しみやすい雰囲気の女性を撮影。視聴者との距離が近く感じられるように。	
2	2	女性が自分の鼻を指差して、困ったような表情。少しカメラが鼻に寄る。	ファンデーションを塗った指で鼻をトントンと叩き、毛穴が隠れない仕草。	そのファンデで隠しきれない毛穴の黒ずみ…。	（シュン…）効果音	ファンデでも毛穴が隠れないことがわかるように、鼻のアップを撮影。ライティングで毛穴の凹凸がわかるように調整。	テロップ：「ファンデで隠せない…」
3	2	鏡の中の自分を見て、うんざりした表情でため息をつく女性。	視線を落とし、諦めたように首を少し振る。	それ、いつまで見て見ぬふりする？	ため息（はぁ…）	洗面台の鏡を覗き込み、自分の肌にがっかりしている演技を撮影。	
4	2	真剣な表情でカメラ目線に戻る。背景が少し暗転する。	視聴者に強く訴えかけるように、まっすぐカメラを見つめる。	正直に言うね？私も、今まで毛穴ケアにはマジで泣かされてきたの！	BGMの雰囲気が少しシリアスに	スポットライトが当たっているようなイメージで撮影。共感を誘う真剣な表情を引き出す。	
5	2	様々な毛穴ケア商品が並んだテーブル。それらを次々と試す女性のインサート映像。	映像を早回しで見せる。商品を手に取っては試し、がっかりする、を繰り返す。	毛穴パック、酵素洗顔、クレイパック…	ピコピコ（商品を切り替える音）	様々なケア商品を試している様子を撮影。あくまでイメージカット。手元や商品中心でOK。	テロップ：「毛穴パック」「酵素洗顔」「クレイパック」が次々と表示される。
6	2	スマホをスクロールして美容情報を探している手元のアップ。	すごい速さで画面をスクロールしていく。	「これが良い」って聞けば全部試したけど、	シュルシュル（スクロール音）	スマホで美容系のサイトやSNSを見ている手元を撮影。	
7	2	結局どれもその場しのぎで…。	毛穴パックを剥がし、取れていない角栓を見てがっかりする表情のアップ。	結局どれもその場しのぎで…。	（がっかり…）効果音	期待して毛穴パックを剥がすも、結果が変わらず落胆する表情を撮影。	
8	2	うなだれて、大きくため息をつく女性。	画面にヒビが入るような演出。	正直、心がポキって折れかけてた。	ポキッ（心が折れる音）	心底疲れた、という表情でうなだれる演技を撮影。	イラスト：ハートにヒビが入るCG
9	2	ハッとした表情で顔を上げる女性。頭の横に電球が光るイラスト。	何かを閃いたように、目を見開く。	でもある時、衝撃の事実を知っちゃったの。	ピカーン！（閃き）	驚きと発見の表情を撮影。	イラスト：電球が光るCG
10	2	高級そうな美容液のボトルを手に持っている。	ボトルをまじまじと見つめる。	私たちがなけなしのお金で買ってる高級美容液、	キラキラした効果音	物撮り：高級感のある美容液のボトル。	
11	2	肌の断面図のイラスト。古い角質が蓋のようになっている。	美容液（のイラスト）が角質層に弾かれて浸透していかないアニメーション。	もしかしたら「古い角質」がフタをして、	（ブロックされるような）効果音	イラスト：肌の断面図。古い角質が壁のようになっている。	
12	2	美容液が肌の上で弾かれているイメージ映像（CG）。	「浸透してないかも!?」というテロップが大きく表示される。	肌の奥まで全然届いてないかもしれないって…。	（残念な）効果音	　	テロップ：「浸透してないかも!?」／イラスト：美容液が肌に入っていかないCG
13	1	驚いた表情でカメラにグッと近づく。	目を見開いて、視聴者に「ヤバくない！？」と問いかける。	ヤバくない！？	ジャーン！（衝撃音）	魚眼レンズなどで、顔がアップになるインパクトのある画を撮影。	
14	2	笑顔に戻り、商品をパッと差し出す。救世主登場、という雰囲気。	自信満々の笑顔。	そんなスキンケア迷子の私を、どん底から救ってくれたのが、この子なの！	キラキラリーン（登場音）	背景が明るくなり、希望に満ちた表情で商品を差し出す演技を撮影。	
15	2	商品のアップ。キラキラした光のエフェクト。	商品名とロゴが大きく表示される。	「INSITU ハーブラピール」！	BGMが明るく、期待感のある曲調に変わる	物撮り：商品のシズル感のあるアップ。水滴などをつけても良い。	テロップ：商品ロゴ「INSITU ハーブラピール」
16	1	人差し指を立てて「No」というように左右に振る。	得意げな表情。	これね、ただのピーリングじゃないの。	（指を振る）効果音	「ただものじゃない感」を出すための、少し小悪魔的な笑顔を撮影。	
17	2	白衣の研究者やエステティシャンが開発しているイメージ映像。	真剣な眼差しで製品をチェックしている。	美容サロンが本気で開発したやつで、	（知的な）BGM	別途、研究室やサロン風の場所で、白衣を着た人物が開発しているイメージカットを撮影。	テロップ：「美容サロンが本気開発」
18	2	自宅のリビングや洗面所で、リラックスした様子で商品を使っている女性。	気持ちよさそうな、うっとりした表情。	おうちで、あの「ハーブピーリング」と	（癒し系）BGM	自宅で簡単にセルフケアできる手軽さと心地よさが伝わるように撮影。	テロップ：「おうちで本格エステ体験」
19	2	「ハーブピーリング」と「ララピール」の文字が合体して一つの商品になるイメージCG。	2つの要素が合わさるインパクト。	韓国で話題の「ララピール」が同時にできちゃうの！	シャキーン！（合体音）		イラスト：「ハーブピーリング」「ララピール」の文字が合体するCG
20	1	「すごいでしょ！」というように、興奮気味に笑顔で頷く。	目を輝かせている。	すごくない！？	（歓声）	商品のすごさを確信している、自信に満ちた笑顔を撮影。	
21	2	少し不安そうな表情で、頬に手を当てる。	「痛いのかな…」という心の声が聞こえるような表情。	「ピーリングって痛そう…」って思うよね？	（不安な）BGM	視聴者の不安を代弁するような表情を撮影。	テロップ：「痛そう…」「肌に悪そう…」
22	1	「私もそうだった！」と苦笑い。	少し肩をすくめる。	私も正直、最初は半信半疑だった（笑）	（てへぺろ的な）効果音	共感を示す、親しみやすい笑顔を撮影。	
23	1	パッと表情が180度変わり、満面の笑みになる。	力強く首を横に振る。	でもこれは、全然ちがった！	（状況が変わる）効果音	「全然違う！」という驚きと喜びを表現する大きなリアクションを撮影。	
24	2	商品の周りに23種類のハーブのイラストが飛び出すCG。	カラフルで楽しげな雰囲気。	23種類もの天然ハーブがたっぷり入ってて、	（ハーブが飛び出す）ポップな効果音		イラスト：23種類のハーブのイラストが商品の周りを舞うCG／テロップ：「23種の天然ハーブ」
25	2	商品を洗い流しているシーン。水が気持ちよさそう。	目を閉じて、水の感触を楽しんでいる。	洗い流した後の自分の肌、	（水が流れる）清涼感のある音	実際に商品を洗い流すシーンをスローモーションなどで美しく撮影。	
26	2	洗い流した後の自分の頬を、うっとりと何度も触る。	自分の肌じゃないみたい、と驚いている。	ずーっと触ってたくなっちゃうくらい	（うっとり）キラキラ音	自分の肌の変化に感動している表情をアップで撮影。	
27	2	画面に羽が舞うようなCGエフェクト。	「ふわっ♡」という手書き風テロップ。	「フワッ」て柔らかくなるの！	フワッ（柔らかい効果音）	肌の柔らかさを表現するため、優しく微笑む表情を撮影。	CG：白い羽が舞うエフェクト／テロップ：「ふわっ♡」
28	2	コンシーラーをカメラに向かって見せ、それをポイっと投げる（ふりをする）。	「もうこれはいらない！」という晴れやかな表情。	もう、毎朝コンシーラーで毛穴を隠すのに必死だった私はいません（笑）	（爽快な）効果音	過去の自分との決別を表現する、自信に満ちた笑顔を撮影。	
29	2	カフェで友人と話している回想シーン。	友人が女性の肌を指差し、「きれいになったね」と褒めている。口パクでOK。	「最近、肌きれいになったね」って友達に褒められるのが、	（カフェの環境音）	友人役との自然な会話シーンを撮影。嬉しそうな表情を引き出す。	テロップ（吹き出し）：「肌きれいになった？」
30	2	現在のシーンに戻り、カメラ目線で最高に嬉しそうな笑顔。	少し照れたようにはにかむ。	本当に嬉しいんだから！	（嬉しい）効果音	心からの喜びが伝わる、自然で最高の笑顔を撮影。	
31	2	人差し指と親指でお金のマークを作り、少し意地悪そうに笑う。	「高いと思うでしょ？」と問いかける表情。	で、ここまでスゴイと「でも、お高いんでしょう？」ってなるよね（笑）	（考え込む）効果音	少し芝居がかった、分かりやすいジェスチャーで撮影。	テロップ：「でも、お高いんでしょ？」
32	1	カメラを指差し、「あなただけ」という特別感を演出。	真剣な表情。	それが、この動画を見てる人限定で、	（注目させる）効果音		テロップ：「この動画を見てる人限定！」
33	2	「¥2,980」という価格テロップが画面に大きく表示される。女性はそれを見て、信じられない！と驚く。	目を大きく見開いて、口に手を当てる。	信じられないんだけど44%OFFの**2,980円**！	ジャジャーン！（価格発表）	価格のインパクトに負けない、最大限の驚きの表情を撮影。	テロップ：「通常価格XXXX円が」「44%OFF」「特別価格 2,980円（税込）」
34	2	電卓のイラストCGが表示され、価格が計算される。	「お得！」という表情で力強く頷く。	1回373円！エステ1回分で何か月も試せちゃう！	（計算機）ピピピポーン！	　	イラスト：電卓で「2980 ÷ 8」などを計算するCG／テロップ：「1回あたりわずか373円」
35	1	「まだあるの！」というように、人差し指を立てる。	いたずらっぽく笑う。	しかも！もし肌に合わなかったら	（さらにお得な情報）	期待感を煽るような表情を撮影。	
36	2	「30日間全額返金保証」というスタンプ風のCGが画面に押される。	安心しきった、自信のある表情。	「30日間ぜーんぶ返金してくれる保証」までついてるの。	バーン！（スタンプ音）	「これなら安心でしょ？」と視聴者に語りかけるような表情を撮影。	CG：「30日間全額返金保証」のスタンプ
37	1	両手を合わせて「お願い！」や「神！」というようなポーズ。	コミカルで可愛い表情。	マジで神じゃない？	（感謝）キラキラ〜ン	少しオーバーなリアクションで、商品のメリットを強調する。	
38	2	急かすように、手で「早く早く！」というジェスチャー。	少し焦った表情。	これ、マジですぐなくなっちゃうから、	（焦る）BGM、時計のチクタク音	人気商品で、すぐ売り切れてしまうという雰囲気を出す演技。	テロップ：「※人気商品のため在庫僅少です」
39	2	画面の隅にカウントダウンタイマーのCG。	真剣な表情で、まっすぐ視聴者を見つめる。	本気で毛穴に悩んでる子は、キャンペーンが終わっちゃう前に、	（緊迫感のある）カウントダウン音	「あなたのための情報だよ」と、悩んでいる人に真剣に訴えかける。	CG：キャンペーン終了までのカウントダウンタイマー
40	2	画面下部を両手で指差す。	最高の笑顔で「ぜひ！」という表情。	下のボタンから絶対チェックしてみて！	（クリックを促す）効果音	視聴者のアクションを促す、明るく元気な笑顔を撮影。	UI：画面下部に「お得に試してみる」などの購入ボタンを表示する。
